Epoch, Training Loss, Training Accuracy, Validation Loss, Validation Accuracy
1, 3.4111, 20.75%, 2.9445, 28.80%
2, 2.6124, 35.29%, 2.8106, 31.20%
3, 2.3409, 41.06%, 2.5882, 35.80%
4, 2.1948, 43.82%, 2.5295, 36.80%
5, 2.0869, 46.20%, 2.5914, 35.00%
6, 2.0134, 47.56%, 2.6129, 37.40%
7, 1.9481, 48.93%, 2.5965, 37.20%
8, 1.8776, 50.42%, 2.4430, 37.20%
9, 1.8231, 51.45%, 2.5433, 38.40%
10, 1.7648, 52.65%, 2.6061, 38.20%
